               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.021471,            0.011323,          0.00070052,             0.92841,              0.8647,             0.92581,             0.71665,            0.011121,           0.0039305,          0.00022186,           0.0077031,           0.0077031,           0.0077031
                 110,            0.020938,            0.011292,          0.00062795,                   1,             0.79981,             0.91711,             0.72191,            0.010136,           0.0036927,          0.00025274,           0.0076651,           0.0076651,           0.0076651
                 111,            0.021234,            0.011417,          0.00060303,             0.93331,             0.93301,             0.94068,             0.72646,           0.0096758,           0.0037095,          0.00026719,           0.0076269,           0.0076269,           0.0076269
                 112,            0.021413,            0.011477,          0.00064888,             0.99993,                 0.8,             0.88708,             0.72461,           0.0095777,           0.0037067,          0.00023215,           0.0075886,           0.0075886,           0.0075886
                 113,            0.021449,            0.011533,          0.00062306,             0.99994,             0.86667,             0.91171,             0.68883,            0.012283,           0.0035007,          0.00025007,           0.0075501,           0.0075501,           0.0075501
                 114,            0.020815,            0.011329,          0.00060033,                   1,             0.86663,             0.90311,             0.71664,            0.011122,           0.0039759,          0.00024924,           0.0075114,           0.0075114,           0.0075114
                 115,            0.020722,            0.011417,          0.00060772,                   1,             0.86654,             0.92469,             0.79508,             0.01003,           0.0038013,          0.00028083,           0.0074725,           0.0074725,           0.0074725
                 116,             0.02119,            0.011402,          0.00060177,             0.99996,             0.93333,             0.94058,             0.76345,            0.010139,           0.0039859,           0.0002458,           0.0074335,           0.0074335,           0.0074335
                 117,            0.020912,            0.011233,          0.00056758,                   1,             0.86664,              0.8977,             0.74878,            0.010154,           0.0032471,          0.00022881,           0.0073943,           0.0073943,           0.0073943
                 118,            0.020654,            0.011013,           0.0005911,             0.99982,                 0.8,             0.95297,             0.76377,            0.010392,           0.0039134,          0.00025702,            0.007355,            0.007355,            0.007355
                 119,             0.02048,            0.010754,          0.00056593,             0.93327,             0.93246,             0.93085,             0.74063,            0.010788,           0.0036356,          0.00023451,           0.0073155,           0.0073155,           0.0073155
                 120,            0.020738,            0.011322,          0.00071611,             0.92586,             0.93333,             0.93599,             0.77359,            0.008216,           0.0033495,          0.00023088,           0.0072758,           0.0072758,           0.0072758
                 121,            0.020846,            0.011026,          0.00058592,             0.99988,                 0.8,              0.9089,             0.70901,           0.0083281,            0.003946,          0.00023039,           0.0072361,           0.0072361,           0.0072361
                 122,             0.02076,            0.010949,          0.00059885,             0.93202,             0.93333,             0.93672,             0.71894,            0.010542,           0.0036366,          0.00028092,           0.0071962,           0.0071962,           0.0071962
