               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.029349,            0.018214,           0.0013483,               0.846,             0.73251,             0.78803,             0.54631,            0.023086,           0.0069676,          0.00056021,           0.0095252,           0.0095252,           0.0095252
                  49,            0.027832,            0.018107,           0.0011846,                   1,             0.73331,             0.80288,             0.57485,            0.022454,           0.0065218,          0.00048537,           0.0095052,           0.0095052,           0.0095052
                  50,             0.02867,            0.017858,           0.0012113,             0.85654,                 0.8,             0.80151,             0.57134,            0.020533,           0.0074406,          0.00052333,           0.0094849,           0.0094849,           0.0094849
                  51,            0.028506,            0.018259,           0.0012648,             0.92505,             0.86667,             0.86513,             0.53968,            0.024294,           0.0072204,          0.00054666,           0.0094641,           0.0094641,           0.0094641
                  52,            0.027979,             0.01778,           0.0013101,             0.92305,             0.79971,             0.79723,             0.55198,            0.021976,           0.0071659,          0.00058418,            0.009443,            0.009443,            0.009443
                  53,            0.028041,            0.017837,           0.0011639,             0.99998,                 0.8,             0.85909,             0.54086,              0.0218,           0.0072145,          0.00050605,           0.0094215,           0.0094215,           0.0094215
                  54,            0.027068,            0.018061,           0.0011784,             0.91607,             0.73333,             0.79007,             0.57873,            0.018311,           0.0073723,            0.000687,           0.0093996,           0.0093996,           0.0093996
                  55,             0.02737,            0.017865,            0.001115,             0.79987,              0.7994,             0.80699,             0.61603,             0.01914,           0.0081387,          0.00049999,           0.0093773,           0.0093773,           0.0093773
                  56,            0.027325,            0.017159,           0.0011735,             0.85674,             0.79753,              0.7815,             0.60958,            0.020468,           0.0077543,          0.00058129,           0.0093547,           0.0093547,           0.0093547
                  57,            0.027037,            0.017818,           0.0012043,             0.85632,                 0.8,             0.84518,             0.61536,            0.018609,           0.0074726,          0.00049998,           0.0093317,           0.0093317,           0.0093317
                  58,             0.02691,            0.017543,           0.0011633,             0.91663,               0.733,             0.78735,             0.50886,            0.021102,           0.0072436,          0.00049109,           0.0093083,           0.0093083,           0.0093083
                  59,            0.027171,            0.017321,            0.001093,              0.9088,             0.66667,             0.75864,             0.54351,            0.020431,           0.0074753,          0.00055695,           0.0092846,           0.0092846,           0.0092846
                  60,            0.027047,            0.017321,           0.0011149,             0.99883,             0.73333,             0.88126,             0.63514,            0.018083,           0.0065461,          0.00044881,           0.0092605,           0.0092605,           0.0092605
                  61,            0.026741,             0.01751,           0.0011885,             0.90906,             0.66642,             0.74487,             0.53595,            0.023233,           0.0065478,          0.00052787,           0.0092361,           0.0092361,           0.0092361
                  62,            0.026268,            0.016906,           0.0010361,             0.92854,             0.86625,             0.86652,             0.63072,            0.016873,            0.006454,          0.00049643,           0.0092113,           0.0092113,           0.0092113
                  63,            0.025922,            0.017076,           0.0011089,              0.9163,             0.73333,             0.83691,             0.61414,            0.017591,           0.0070219,          0.00051931,           0.0091861,           0.0091861,           0.0091861
                  64,            0.026238,            0.017047,          0.00096263,             0.99994,                 0.8,             0.85351,             0.69438,            0.016255,           0.0060547,          0.00047448,           0.0091606,           0.0091606,           0.0091606
                  65,            0.026146,            0.016857,           0.0010326,             0.90899,             0.66667,             0.77214,             0.58747,            0.019179,           0.0060158,          0.00043468,           0.0091348,           0.0091348,           0.0091348
                  66,            0.025764,            0.017173,           0.0010397,             0.99992,                 0.8,             0.85418,             0.63204,            0.017168,           0.0065891,          0.00045928,           0.0091086,           0.0091086,           0.0091086
                  67,             0.02597,             0.01707,           0.0010978,             0.99976,                 0.8,             0.82494,             0.65383,            0.016514,           0.0064269,          0.00049897,           0.0090821,           0.0090821,           0.0090821
                  68,            0.025265,            0.016525,          0.00096349,             0.99966,             0.66667,             0.86246,             0.68299,            0.017708,           0.0062125,          0.00044772,           0.0090552,           0.0090552,           0.0090552
                  69,            0.025155,            0.016716,            0.001031,             0.92852,             0.86599,             0.86534,             0.68595,            0.016655,           0.0053304,          0.00048272,            0.009028,            0.009028,            0.009028
                  70,            0.024829,            0.016743,           0.0010709,                   1,             0.79998,             0.87131,             0.67258,            0.016272,            0.005657,          0.00045418,           0.0090004,           0.0090004,           0.0090004
                  71,            0.024861,            0.016603,           0.0010742,             0.92307,              0.7999,             0.84395,              0.6759,            0.018077,           0.0060414,          0.00045205,           0.0089726,           0.0089726,           0.0089726
                  72,            0.025245,            0.016526,           0.0010097,             0.79983,             0.79922,             0.80488,             0.64924,            0.014973,            0.006226,          0.00046885,           0.0089444,           0.0089444,           0.0089444
                  73,            0.024761,            0.016345,          0.00099893,             0.86665,             0.86656,             0.84158,             0.63086,            0.017924,           0.0060054,          0.00047396,           0.0089159,           0.0089159,           0.0089159
                  74,            0.024965,            0.016157,           0.0010548,             0.92738,             0.86667,             0.87152,             0.66772,            0.015938,           0.0063812,          0.00047774,            0.008887,            0.008887,            0.008887
                  75,            0.024742,            0.016373,           0.0010004,                   1,             0.66663,              0.8093,             0.64656,            0.016798,           0.0061651,          0.00049517,           0.0088579,           0.0088579,           0.0088579
                  76,            0.024531,            0.015901,          0.00088507,             0.99982,             0.86667,             0.87112,             0.63388,            0.018952,           0.0064859,          0.00040928,           0.0088284,           0.0088284,           0.0088284
                  77,            0.024187,            0.016298,          0.00093355,             0.99998,                 0.8,             0.84983,             0.63944,            0.017207,            0.006835,          0.00044887,           0.0087987,           0.0087987,           0.0087987
                  78,            0.023674,            0.016482,          0.00094719,                   1,             0.73322,             0.80493,             0.63863,             0.01687,           0.0061768,          0.00047914,           0.0087686,           0.0087686,           0.0087686
                  79,            0.024775,            0.016918,           0.0009197,             0.99997,             0.73333,             0.87659,             0.61907,            0.016215,           0.0059703,          0.00044538,           0.0087382,           0.0087382,           0.0087382
                  80,             0.02434,            0.016254,          0.00095786,             0.92306,             0.79982,             0.84555,             0.63759,            0.017205,           0.0060791,          0.00040854,           0.0087075,           0.0087075,           0.0087075
                  81,            0.023476,             0.01588,          0.00094048,             0.85679,                 0.8,             0.81734,             0.65796,             0.01789,            0.005958,          0.00040565,           0.0086765,           0.0086765,           0.0086765
                  82,            0.023119,            0.015678,          0.00087927,                   1,             0.86663,             0.87361,             0.62417,            0.018352,           0.0058369,          0.00039014,           0.0086452,           0.0086452,           0.0086452
                  83,            0.023393,            0.016269,          0.00089929,             0.92305,             0.79974,             0.79197,             0.62738,            0.017181,           0.0061026,          0.00040681,           0.0086137,           0.0086137,           0.0086137
                  84,            0.024512,            0.015837,          0.00093153,             0.92308,             0.79999,             0.90139,             0.70247,            0.014083,           0.0059982,          0.00043844,           0.0085818,           0.0085818,           0.0085818
